X,Y
-0.2000,1.797300
-0.104851,1.935904
-0.005440,1.939265
0.096041,1.824654
0.193270,1.803453
0.299185,1.555587
0.399866,1.615678
0.399578,1.678509
0.500343,1.720210
0.608131,1.731388
0.705038,1.613627
0.806470,1.509743
0.896072,1.483804
0.995329,1.353826
1.094046,1.341848
1.496187,1.208245
1.698089,1.210426
