X,Y
-0.20000,1.73280
-0.105097,1.822487
-0.005124,1.870304
0.096322,1.763355
0.194294,1.746766
0.297866,1.509585
0.399312,1.569689
0.399024,1.632521
0.499031,1.672675
0.608363,1.680816
0.705241,1.569185
0.806631,1.474496
0.895511,1.439349
0.995505,1.315514
1.093477,1.298925
1.495619,1.165322
1.698286,1.167517
